tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source
"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes - Crisp Lemon, 75 Count Each (Pack of 6)

Starting at $31

Tr… https://t.co/kh3xsnDBBB",1.260255364697776e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602548500145357e+18,Gayle-Lynne,"Los Angeles, CA",,2020-05-12,0.0,,,Twitter for iPhone
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602540771050414e+18,caballota,"oc, califas.",,2020-05-12,0.0,,,Twitter for iPhone
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.260253798783574e+18,Jenny,,,2020-05-12,0.0,,,Twitter for Android
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.260253050909819e+18,Andrew Alexander Castaneda,,,2020-05-12,0.0,,,Twitter for iPhone
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602527505766195e+18,Ricky Jr and David jr and bill,"Bell Gardens, CA",,2020-05-12,0.0,,,Twitter for Android
"RT @ABC7: Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days a week. Here'…",1.2602524478024172e+18,Kylie Mawson,Orange County,,2020-05-12,0.0,,,Twitter for iPhone
"Searching high and low for #Clorox disinfecting wipes? The company is now running its plants 24 hours a day, 7 days… https://t.co/p4j0tS5Qdp",1.2602521420712387e+18,ABC7 Eyewitness News,,,2020-05-12,55.0,,,Twitter Web App
RT @BethKmitch1: @realDonaldTrump  get off Twitter and start doing your job. You weren nominated to sit on the phone all day like us and tw…,1.2602427975647396e+18,Paul Campbell Haider🌹,Weybridge(Anarchy in UK🇬🇧),,2020-05-12,0.0,,,Twitter for iPhone
"@realDonaldTrump Hahaha, nope, #WiddleDonnie, that is not what happened. 

In spite of your recommendation to chug… https://t.co/2Z8coRc97x",1.2602427745380106e+18,Peter Kent,Planet Earth,,2020-05-12,0.0,,,Twitter for iPhone
"@elonmusk @AlexBerenson At this time, getting #clorox products is harder than #covid tests!",1.2602408692543652e+18,DesiInCT,Happy Place!,,2020-05-12,0.0,,,Twitter Web App
#RandPaul should shut up. Wasn’tthst little fuck retiring? #SenateHearing #Echo #clorox drinker,1.260231929678508e+18,Blue Oyster Dvp,NY displaced from Oakland,,2020-05-12,0.0,,,Twitter for iPhone
#RandPaul is a piece of shit. He is the biggest #Hypocrite at the #SenateHearing . He’s echoing too. #clorox drinker. #COVID19,1.2602316660958413e+18,Blue Oyster Dvp,NY displaced from Oakland,,2020-05-12,2.0,,,Twitter for iPhone
Just listen to #RichardBurr at the #SenateHearing . That’s what happens when you drink #clorox before your 5 minutes of questioning.,1.2602298769022362e+18,Blue Oyster Dvp,NY displaced from Oakland,,2020-05-12,1.0,,,Twitter for iPhone
#clorox so what’s in Clorox wipes and Lysol that makes Reckitt Benckiser Group PLC unable to put anymore out. I use… https://t.co/Ix0Jsx4R3R,1.2602282399994348e+18,Reeshemah G,Texas,,2020-05-12,0.0,,,Twitter for iPhone
"Clorox Zero Splash Bleach Packs (4 Pack) 

Starting at $14.76

https://t.co/DW5vn0tP2V 

#ad #clorox #bleach #packs https://t.co/cLkZRPkmhD",1.2602269619238584e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App
@AndrewPollackFL @realDonaldTrump Are you on the #clorox #SuperSnowflake?! Did you get a hold of some bad #covfefe?… https://t.co/yUWJhzuSlo,1.2602218784232366e+18,Beachbilly Comma Floraduh is a Depeche Mode fan!!!,I Live Over There ,,2020-05-12,0.0,,,Twitter Web App
"Tweeps, it's #Clorox not ""Chlorox."" Use spellcheck.",1.260219319729877e+18,Peggy Stuart,"Bend, Oregon, USA",,2020-05-12,1.0,,,Twitter Web App
"Q1 2020 Earnings Recap webinar &gt;
Watch in on demand: #airlines cash burn rates, #oilandgas borrowing base redetermi… https://t.co/C7vlnZgkTi",1.2602082584904745e+18,Sentieo,"New York, NY",,2020-05-12,0.0,,,Buffer
@Walmart @bathbodyworks @fivebelow @amazon all of you have helped me get essential goods with out leaving my home!… https://t.co/4Wq8yia2p0,1.260207386993795e+18,FootieLover⚽,"NJ, USA",,2020-05-12,1.0,,,Twitter for iPhone
"Restocked!!

Clorox Zero Splash Bleach Crystals, Regular Scent, 24 Oz, 3 Pack 

Use Clorox Bleach Crystals as you w… https://t.co/vWIEk1lyg9",1.2602037162606387e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App
"I have searched from Knoxville to Ooltewah to Chattanooga &amp; Calhoun, GA until I finally locate Clorox disinfecting… https://t.co/FHeW1vWDad",1.2602037051247534e+18,Wendy King 🇺🇸😀🍊,"Chattanooga, TN","{'type': 'Point', 'coordinates': [-85.68161077, 35.04049246]}",2020-05-12,0.0,"{'type': 'Point', 'coordinates': [35.04049246, -85.68161077]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='76660faa26ab13ad', url='https://api.twitter.com/1.1/geo/id/76660faa26ab13ad.json', place_type='city', name='Kimball', full_name='Kimball, TN', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-85.6907012, 35.038257], [-85.629334, 35.038257], [-85.629334, 35.064056], [-85.6907012, 35.064056]]]), attributes={})",Instagram
#Clorox #Cleaningup clothing stains https://t.co/6kJbRA57Kj https://t.co/qIirHfpbCs,1.2602036465974354e+18,KGervin,,,2020-05-12,0.0,,,The Social Jukebox
@7104child @off_person @danielchaitin7 @dcexaminer #TrumpCorruption 💉 #Clorox 💉 https://t.co/0AccHxT7I3,1.2602032140722135e+18,Chairman You,"Los Angeles, CA",,2020-05-12,0.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for Android
"RT @ComradeYou: @jamesin22677333 @danielchaitin7 @dcexaminer LOVE THE CAPS, JAMES! IT'S AN INCREDIBLE THING! 😷 #TrumpIsALoser 🤏 #Clorox 💉",1.260202719207293e+18,james inman TESTSTESTSTESTS,"Washington, USA",,2020-05-12,0.0,,,Twitter for Android
"@jamesin22677333 @danielchaitin7 @dcexaminer LOVE THE CAPS, JAMES! IT'S AN INCREDIBLE THING! 😷 #TrumpIsALoser 🤏 #Clorox 💉",1.2602024502810993e+18,Chairman You,"Los Angeles, CA",,2020-05-12,1.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",Twitter for Android
"RT @Codes4Deals: Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97

Try…",1.260198423023833e+18,Ace of Shades,,,2020-05-12,0.0,,,Twitter for iPhone
"RT @Codes4Deals: Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97

Try…",1.260198392812073e+18,The Beard Whisperer,"Honolulu, HI",,2020-05-12,0.0,,,Twitter for Android
"RT @Codes4Deals: Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97

Try…",1.2601983759175844e+18,bobbie lee swagger,,,2020-05-12,0.0,,,Tweetbot for iΟS
"RT @Codes4Deals: Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97

Try…",1.2601976956769198e+18,Luther Vandals,DM(V),,2020-05-12,0.0,,,Twitter for iPhone
"RT @Codes4Deals: Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97

Try…",1.2601975522233795e+18,Piscean Princess,"Mississippi, USA",,2020-05-12,0.0,,,Twitter for Android
"Morning Restock

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.… https://t.co/f81PjdwTah",1.2601968333070418e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,2.0,,,Twitter Web App
"$CLX enters an Uptrend as Momentum Indicator exceeded the 0 level on May 1, 2020. View odds for this and other indi… https://t.co/aIh9tLDIN4",1.260195764451459e+18,Tickeron,"Sunnyvale, CA",,2020-05-12,0.0,,,Tickeron
Scientists are talking about injecting #Clorox into your body to fight the virus.? Any dumb ass fucker that does th… https://t.co/w1VyamNqBE,1.2601844004673004e+18,Danny 🇺🇸,At a baseball field.,,2020-05-12,3.0,,,Twitter for iPhone
"RT @anupartha: Despite the upheaval caused by the #coronavirus pandemic, some companies been thriving because of dramatic shifts in consume…",1.2601764730018243e+18,Aadi,"Bengaluru, India",,2020-05-12,0.0,,,Twitter for Android
@realDonaldTrump Someone had their #Clorox this morning? #TrumpOwnsEveryDeath #TrumpDeathToll81K,1.2601745498213745e+18,Tiny Hands Donnie,United States,,2020-05-12,0.0,,,Twitter for iPhone
@adasomg @realDonaldTrump Someone find the sharpies and a map! @adasomg Have you taken your dose of #Clorox today?,1.2601694232074404e+18,Tiny Hands Donnie,United States,,2020-05-12,2.0,,,Twitter for iPhone
When to expect more .@Clorox wipes at the store - GMA - https://t.co/9RhVPFGplN via .@GMA #clorox #coronavirus #covid19,1.2601583294829322e+18,diamondave,"Hollyweird, CA",,2020-05-12,0.0,,,Twitter Web Client
"#Trump says, “If you drink #Clorox &amp; receive #UVLight treatments, you don’t need to be tested cuz you’re protected.… https://t.co/WjMGC2jmUc",1.2601580255429059e+18,RHONarcissus,,,2020-05-12,0.0,,,Twitter for iPhone
Is #Trump more orange than usual? Is that due to his #Clorox baths &amp; #UVlight treatments to protect him from… https://t.co/FaPvPiZDfw,1.2601554711027261e+18,RHONarcissus,,,2020-05-12,0.0,,,Twitter for iPhone
"RT @angryvet9: #MoscowMitchMcConnell  Just for you Moscow,, In Case of Emergency https://t.co/ZieJfrxYAa #clorox",1.2601545421985792e+18,Greg Puckett,Nationwide!,,2020-05-12,2.0,,,TweetCaster for Android
RT @Peppermint247: while we are all in #lockdown laughing at bleach jokes ( Many of which ARE funny) #Trump is CURRENTLY making it LEGAL to…,1.2601467980747612e+18,The Black Cat Army,UK,,2020-05-12,0.0,,,Twitter Web App
RT @Peppermint247: while we are all in #lockdown laughing at bleach jokes ( Many of which ARE funny) #Trump is CURRENTLY making it LEGAL to…,1.2601190133440594e+18,Laken Olivia Powers,"Arkansas, USA",,2020-05-12,0.0,,,Twitter for iPhone
"RT @AmalShal27: @mmpadellan @realDonaldTrump @brianstelter #TrumpMeltdown
ADVICE OF GREAT THINGS
#LIGHTBULBS
#CLOROX
#NEEDLES TO INJECT INC…",1.2600911340906414e+18,AMAL SHAL LOVES AYMAN SHAL 💙💙💙💙💙💙💙💙💙💙💙,SOMEWHERE WITH MY AYMAN 💕💕,,2020-05-12,0.0,,,Twitter for Android
"RT @amriana: @sarahcpr April 23rd, 2020
#TheDayOfInsanity45

Half the #World was up all night,
wondering - did I hear that right? 
What?! C…",1.2600686676661821e+18,John Foderick,"Minnesota, USA",,2020-05-12,0.0,,,Twitter for Android
@gtconway3d Many people are wondering if #DonaldTrump has been drinking #Clorox recently.,1.2600571559332209e+18,Western Civil,,,2020-05-12,0.0,,,Twitter Web App
"RT @JardinAngels: @realDonaldTrump Midwesterners were already doubting Trump. Covid could seal his political fate

“The genius may think we…",1.2600544372734034e+18,💐Chateau de Resistance💐,Texas,,2020-05-12,0.0,,,Twitter for iPhone
"I think everyone should take a sanitizer shower 3 times a day, followed by washing your clothes in #Clorox.
We are… https://t.co/5B97N2eYws",1.2600537532957123e+18,EmptyBarrelNews,Deep Blue Bankrupt #CT,,2020-05-12,0.0,,,Twitter Web App
"@realDonaldTrump Midwesterners were already doubting Trump. Covid could seal his political fate

“The genius may th… https://t.co/x1f021DxDN",1.2600488391317504e+18,💐Chateau de Resistance💐,Texas,,2020-05-12,3.0,,,Twitter for iPhone
"RT @amriana: @sarahcpr April 23rd, 2020
#TheDayOfInsanity45

Half the #World was up all night,
wondering - did I hear that right? 
What?! C…",1.2600462801532355e+18,Diane Andre,,,2020-05-12,0.0,,,Twitter for Android
When are #Clorox wipes coming back?,1.2600403105471898e+18,Meagan,New Jersey | SoCal,,2020-05-12,0.0,,,Twitter for iPhone
"RT @Codes4Deals: Clorox Clean-Up Disinfectant Bleach Cleaner, Fresh Scent (Pack of 2) 

*location based and may not be available to all buy…",1.2600397898495795e+18,Alicia,Crimson Nation AL,,2020-05-12,0.0,,,Twitter for iPhone
"Clorox Clean-Up Disinfectant Bleach Cleaner, Fresh Scent (Pack of 2) 

*location based and may not be available to… https://t.co/INm4zOPPAc",1.2600384264574484e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App
"Restock!! Will sell out quick.

Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes - Fresh Scent, 75 Count 

*lo… https://t.co/uskQhXvKIl",1.260036456694702e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,0.0,,,Twitter Web App
"Restock!! Will sell out quick.

Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes - Fresh Scent, 75 Count 

*lo… https://t.co/hqGXrDy72T",1.2600359405394575e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-12,1.0,,,Twitter Web App
@funder Didn't watch  but  saw clips   Worst Lies #RacistInChief #TrumpPressConference  Worst presser since… https://t.co/UbuNRTqgdZ,1.2600357122267013e+18,Hassie L Buckner,"Atlanta, Georgia",,2020-05-12,0.0,,,Twitter for Android
#WeijiaJiang  #Weijia   Worst #TrumpPressConference  since  #Clorox day presser  #TrumpMeltdown  #KaitlanCollins… https://t.co/9CuZrqXlwv,1.260033091604603e+18,Hassie L Buckner,"Atlanta, Georgia",,2020-05-12,1.0,,,Twitter for Android
This is what it feels like to win the Super Bowl right??? #Clorox @Clorox https://t.co/OjBBofWwC6,1.2600167290542612e+18,Sunny on The Inside,,,2020-05-12,25.0,,,Twitter for iPhone
RT @Peppermint247: while we are all in #lockdown laughing at bleach jokes ( Many of which ARE funny) #Trump is CURRENTLY making it LEGAL to…,1.2600166421273027e+18,abby,,,2020-05-12,0.0,,,Twitter for iPhone
"@3rdHourTODAY #Clorox #StayHealthy 
I reuse my clorox wipes after sanitizing in 1/4 cup bleach and 1 gallon of water https://t.co/SDvULiFcQv",1.260006052935766e+18,LaVona Odingo,,,2020-05-12,0.0,,,Twitter Web App
RT @ABC7: When will #Clorox wipes again be plentiful in stores? Here's what the president of the company says https://t.co/SF3CwwsMed,1.2600048580876083e+18,Sabrina,"Encinitas, CA 🇺🇸",,2020-05-12,0.0,,,Twitter for iPhone
"Restocked again!!

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $1… https://t.co/cPqZiO7Pn5",1.2599893776499057e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-11,0.0,,,Twitter Web App
"RT @Codes4Deals: Restock!! Will sell out quick

Clorox Disinfecting Wipes Value Pack, 75 Ct Each, Pack of 3

*location based and may not be…",1.2599887648201482e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-11,0.0,,,Twitter Web App
@irishfiveo @NjReligious Nope. Hard to believe I know but president’s word still matter. People are stupid. #clorox,1.2599840976923116e+18,Bill Davis,"New York, NY",,2020-05-11,0.0,,,Twitter for iPhone
"Despite the upheaval caused by the #coronavirus pandemic, some companies been thriving because of dramatic shifts i… https://t.co/xfkATelpxb",1.2599760778851779e+18,AnuPartha,,,2020-05-11,2.0,,,Hootsuite Inc.
"Restock!! Will sell out quick

Clorox Disinfecting Wipes Value Pack, 75 Ct Each, Pack of 3

*location based and may… https://t.co/uFM31sNyKF",1.2599677284940022e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-11,0.0,,,Twitter Web App
@CNN I know personally during a pandemic I completely require my @Tesla to be completed in a timely manner....said… https://t.co/GVhs8QfPcj,1.2599652718102979e+18,CaliMom2731818,United States,,2020-05-11,0.0,,,Twitter for iPhone
"Restock!!

Clorox Disinfecting Bleach Free Cleaning Wipes, Fresh Scent, 75 Wipes, Pack of 3

Starting at $11.97… https://t.co/2A7Bz7MDpK",1.2599631688744714e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-11,1.0,,,Twitter Web App
@BadOrangeManBad @VAnastasini @kjemcgregor Thanks for verifying your confirmation bias 🤦🏻‍♀️ “Fox News entertainmen… https://t.co/9FEs2SvNqA,1.2599619139471073e+18,Paola,NYC ,,2020-05-11,0.0,,,Twitter for iPhone
"RT @vicsepulveda: Obama wanted you to have health insurance...Trump wants you to drink bleach.

The difference between both parties summed…",1.2596293374956012e+18,Cbarrett2,"Ohio, USA",,2020-05-10,0.0,,,Twitter for iPhone
"RT @vicsepulveda: Obama wanted you to have health insurance...Trump wants you to drink bleach.

The difference between both parties summed…",1.2596290128691732e+18,Su Mohan #VoteByMail🗳#WinBlue🗽#DemsWork4USA🇺🇸,Syracuse,,2020-05-10,0.0,,,Twitter Web App
"@DiamondandSilk #bidengate not working out, Let’s go back to #ObamaGate!!
Lock her up in the wings and #Clorox 4 all!",1.2596227577775432e+18,monty brinton,Los Angeles,,2020-05-10,0.0,,,Twitter for iPhone
RT @O14Wally: @BuckSexton @realDonaldTrump Fact: the #Trump admin had to yank @realDonaldTrump from hosting Press Briefings to limit the na…,1.259621493249659e+18,WallyO14,United States,,2020-05-10,0.0,,,Twitter for iPhone
Check out CLOROX2 Powder Color Booster &amp; Stain Fighter -giant 30.3 oz. new/old stock #Clorox https://t.co/DgUTghFECo via @eBay,1.2596155784294973e+18,barebottomdeals,,,2020-05-10,0.0,,,Twitter Web Client
@SteveHiltonx You keep drinking that #Clorox as for me and my family along with 80% of the country we aren't buying… https://t.co/cyFEaM2L7g,1.2596098032922092e+18,Bianca bridal couture ny,NY,,2020-05-10,0.0,,,Twitter Web App
Check out Lot 6  - 11oz  Free Shipping #Clorox https://t.co/6vZ4twLPny via @eBay,1.2596069202746122e+18,MZfive,MZFIVE,,2020-05-10,0.0,,,Twitter Web Client
@tony_sabol @JonnyIsBored79 @davidhogg111 @sandibachom @JohnJayCollege Nothing #personal. U are entitled to your… https://t.co/uhd9ekH1md,1.2596011335989207e+18,Sendai Sushi & Korean BBQ ☯️,"River Edge, NJ 07661",,2020-05-10,0.0,,,Twitter for iPhone
@realDonaldTrump But did he try to drink #Clorox in fact? Cause he really should...,1.259595205600297e+18,Caha,,,2020-05-10,0.0,,,Twitter for Android
".@Clorox, where are the wipes and sprays? WHERE? @Kroger @Meijer, PLEASE LIMIT ONE PER CUSTOMER! #clorox… https://t.co/zpHYCA6zP0",1.2595905726811054e+18,Mark E. Craft,"Carmel, IN (Indianapolis)",,2020-05-10,0.0,,,Twitter Web App
"Whoever takes the #whitehouse over, is gonna have clean that place from head to toe with #clorox. #COVIDIOTS",1.2595859312389898e+18,Johnathan B.,"Missoula, MT",,2020-05-10,5.0,,,Twitter for iPhone
"OMG @AnnCoulter @TheBabylonBee unbelievable as @realDonaldTrump says to ""Wash out lungs with #Clorox ,"" u have nerv… https://t.co/ToLt7qu3X4",1.2595688047549071e+18,BASED JIMBOB,"San Francisco, CA",,2020-05-10,0.0,,,Twitter Web App
#BreakingNews #trump 's  new #Clorox moment..#bordermask..#HappyMothersDay,1.259568334107861e+18,b baker,,,2020-05-10,0.0,,,Twitter Web App
"Ya think #PutinsBitchIsDoingAGoodJob? Keep drinking that #Clorox...80,186 DEAD ON TRUMPS WATCH  #TrumpsJealousOfObama",1.2595603664236298e+18,Bianca bridal couture ny,NY,,2020-05-10,0.0,,,Twitter Web App
@dbongino Please just go and take another drink of you #Clorox spiked #Trump #Kool-Aid,1.2595591671379067e+18,Emanuel L. Johnson,"Chestertown, MD",,2020-05-10,0.0,,,Twitter for Android
@EliLake @realDonaldTrump Keep drinking that #Clorox History will never change no matter how much you wish it would… https://t.co/4Y5o6vDxy9,1.259558586788823e+18,Bianca bridal couture ny,NY,,2020-05-10,0.0,,,Twitter Web App
@DougKass It's ok they all have their UV inserts and took their #Clorox  tabs,1.2595546060588032e+18,Jim Devine,new england,,2020-05-10,0.0,,,Twitter Web App
De esta pandemia salimos todos vestidos de #batik . Cuánta ropa mancharon ya con Agua Jane? #lavandina #clorox #COVID19,1.259553251965444e+18,Florencia Cornu Laport,"Weston , Fl",,2020-05-10,5.0,,"Place(_api=<tweepy.api.API object at 0x11430af10>, id='88a21205dd4728ea', url='https://api.twitter.com/1.1/geo/id/88a21205dd4728ea.json', place_type='city', name='Weston', full_name='Weston, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-80.4420236, 26.0620314], [-80.361426, 26.0620314], [-80.361426, 26.1446927], [-80.4420236, 26.1446927]]]), attributes={})",Twitter for Android
"Restocked!!

Clorox Free &amp; Clear Baby Multi-Surface Cleaner Spray &amp; Hard Surface Daily Wipes 

Starting at $16… https://t.co/x1tdBydjjM",1.2595517860394598e+18,Find 😷 Essentials & Save 💰 Shopping Online,,,2020-05-10,0.0,,,Twitter Web App
@PalmerReport @Babystring3 How can we forget? #Never #forget. #covid19 also didn’t #miraculously #disappear. Warm… https://t.co/0XBbv5MgGm,1.2595388470352527e+18,Sendai Sushi & Korean BBQ ☯️,"River Edge, NJ 07661",,2020-05-10,3.0,,,Twitter for iPhone
RT @locoldi: People are #injecting themselves with #clorox by “Trump’s Suggestion That Disinfectants Could Be Used to Treat Coronavirus...”…,1.2595348911942205e+18,Lisa Frieze,"Stoneham, MA",,2020-05-10,0.0,,,Twitter Web App
RT @locoldi: People are #injecting themselves with #clorox by “Trump’s Suggestion That Disinfectants Could Be Used to Treat Coronavirus...”…,1.259534721702396e+18,⚖️FH TT SJ,USA,,2020-05-10,0.0,,,Twitter for iPhone
@realDonaldTrump Comedians get under DT skin more than #clorox 😂😂😂🤪,1.259531409284309e+18,LiliSophia,,,2020-05-10,1.0,,,Twitter for Android
If you vote @GOP you need to drink #clorox.,1.2595270238163476e+18,Won't Be Silent,Los Angeles,,2020-05-10,1.0,,,Twitter Web App
"@Michael47294584 @justmeGinaP @johnpavlovitz @MauraLeeLang Drink some #Clorox, sir. You'll feel better. https://t.co/Rhx0VmHIjm",1.2595232374127698e+18,Roy Phillips,NYC,,2020-05-10,2.0,,,Twitter for Android
"RT @robwoodyard1: The president's personal valet, Farnsworth Bentley, would like to apologize to anyone he knocked over in the H Street Wal…",1.259519780589056e+18,Bozo the Hobo,Big Apple Tent,,2020-05-10,0.0,,,Twitter for Android
"#mothersday2020 best gifts.
Crepe Breakfast w/honey , cinnamon sprinkled cappuccino, lemon zest water and box of… https://t.co/UysgeX4Q9Y",1.2595044356859945e+18,ⁿ_ⁿ,here,,2020-05-10,1.0,,,Twitter for Android
